Date,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42
2007-10,Mexico,"9,662","9,662",0,Guatemala,71,71,0,Honduras,21,21,0,El Salvador,27,27,0
2007-11,Mexico,"9,066","9,066",0,Guatemala,44,44,0,Honduras,12,12,0,El Salvador,21,21,0
2007-12,Mexico,"7,667","7,667",0,Guatemala,43,43,0,Honduras,23,23,0,El Salvador,17,17,0
2008-01,Mexico,"12,786","12,786",0,Guatemala,44,44,0,Honduras,8,8,0,El Salvador,18,18,0
2008-02,Mexico,"14,961","14,961",0,Guatemala,57,57,0,Honduras,16,16,0,El Salvador,33,33,0
2008-03,Mexico,"18,750","18,750",0,Guatemala,56,56,0,Honduras,27,27,0,El Salvador,20,20,0
2008-04,Mexico,"20,438","20,438",0,Guatemala,56,56,0,Honduras,21,21,0,El Salvador,34,34,0
2008-05,Mexico,"15,871","15,871",0,Guatemala,72,72,0,Honduras,25,25,0,El Salvador,34,34,0
2008-06,Mexico,"12,248","12,248",0,Guatemala,70,70,0,Honduras,27,27,0,El Salvador,25,25,0
2008-07,Mexico,"12,999","12,999",0,Guatemala,62,62,0,Honduras,21,21,0,El Salvador,29,29,0
2008-08,Mexico,"13,547","13,547",0,Guatemala,88,88,0,Honduras,51,51,0,El Salvador,36,36,0
2008-09,Mexico,"12,819","12,819",0,Guatemala,69,69,0,Honduras,22,22,0,El Salvador,30,30,0
2008-10,Mexico,"9,873","9,873",0,Guatemala,84,84,0,Honduras,27,27,0,El Salvador,32,32,0
2008-11,Mexico,"7,819","7,819",0,Guatemala,67,67,0,Honduras,21,21,0,El Salvador,32,32,0
2008-12,Mexico,"6,401","6,401",0,Guatemala,60,60,0,Honduras,26,26,0,El Salvador,38,38,0
2009-01,Mexico,"10,123","10,123",0,Guatemala,55,55,0,Honduras,28,28,0,El Salvador,24,24,0
2009-02,Mexico,"11,563","11,563",0,Guatemala,58,58,0,Honduras,21,21,0,El Salvador,23,23,0
2009-03,Mexico,"16,356","16,356",0,Guatemala,34,34,0,Honduras,36,36,0,El Salvador,28,28,0
2009-04,Mexico,"12,493","12,493",0,Guatemala,59,59,0,Honduras,19,19,0,El Salvador,27,27,0
2009-05,Mexico,"10,859","10,859",0,Guatemala,58,58,0,Honduras,32,32,0,El Salvador,20,20,0
2009-06,Mexico,"10,138","10,138",0,Guatemala,70,70,0,Honduras,17,17,0,El Salvador,27,27,0
2009-07,Mexico,"8,542","8,542",0,Guatemala,40,40,0,Honduras,29,29,0,El Salvador,27,27,0
2009-08,Mexico,"6,650","6,650",0,Guatemala,48,48,0,Honduras,15,15,0,El Salvador,23,23,0
2009-09,Mexico,"6,399","6,399",0,Guatemala,45,45,0,Honduras,13,13,0,El Salvador,14,14,0
2009-10,Mexico,"4,922","4,922",0,Guatemala,39,39,0,Honduras,10,10,0,El Salvador,32,32,0
2009-11,Mexico,"4,633","4,633",0,Guatemala,51,51,0,Honduras,14,14,0,El Salvador,24,24,0
2009-12,Mexico,"4,540","4,540",0,Guatemala,52,52,0,Honduras,15,15,0,El Salvador,16,16,0
2010-01,Mexico,"6,299","6,299",0,Guatemala,49,49,0,Honduras,23,23,0,El Salvador,26,26,0
2010-02,Mexico,"6,896","6,896",0,Guatemala,37,37,0,Honduras,13,13,0,El Salvador,17,17,0
2010-03,Mexico,"8,949","8,949",0,Guatemala,58,58,0,Honduras,11,11,0,El Salvador,26,26,0
2010-04,Mexico,"6,998","6,998",0,Guatemala,52,52,0,Honduras,34,34,0,El Salvador,12,12,0
2010-05,Mexico,"5,757","5,757",0,Guatemala,47,47,0,Honduras,13,13,0,El Salvador,19,19,0
2010-06,Mexico,"4,964","4,964",0,Guatemala,45,45,0,Honduras,23,23,0,El Salvador,38,38,0
2010-07,Mexico,"4,971","4,971",0,Guatemala,77,77,0,Honduras,24,24,0,El Salvador,29,29,0
2010-08,Mexico,"4,409","4,409",0,Guatemala,71,71,0,Honduras,13,13,0,El Salvador,19,19,0
2010-09,Mexico,"3,921","3,921",0,Guatemala,48,48,0,Honduras,17,17,0,El Salvador,11,11,0
2010-10,Mexico,"4,257","4,257",0,Guatemala,42,42,0,Honduras,12,12,0,El Salvador,13,13,0
2010-11,Mexico,"3,391","3,391",0,Guatemala,42,42,0,Honduras,20,20,0,El Salvador,11,11,0
2010-12,Mexico,"3,155","3,155",0,Guatemala,45,45,0,Honduras,13,13,0,El Salvador,11,11,0
2011-01,Mexico,"3,301","3,301",0,Guatemala,40,40,0,Honduras,15,15,0,El Salvador,13,13,0
2011-02,Mexico,"3,881","3,881",0,Guatemala,49,49,0,Honduras,20,20,0,El Salvador,20,20,0
2011-03,Mexico,"4,716","4,716",0,Guatemala,48,48,0,Honduras,20,20,0,El Salvador,10,10,0
2011-04,Mexico,"3,934","3,934",0,Guatemala,51,51,0,Honduras,14,14,0,El Salvador,17,17,0
2011-05,Mexico,"3,378","3,378",0,Guatemala,40,40,0,Honduras,11,11,0,El Salvador,32,32,0
2011-06,Mexico,"2,994","2,994",0,Guatemala,50,50,0,Honduras,31,31,0,El Salvador,16,16,0
2011-07,Mexico,"2,911","2,911",0,Guatemala,38,38,0,Honduras,27,27,0,El Salvador,21,21,0
2011-08,Mexico,"2,744","2,744",0,Guatemala,57,57,0,Honduras,23,23,0,El Salvador,21,21,0
2011-09,Mexico,"2,619","2,619",0,Guatemala,63,63,0,Honduras,18,18,0,El Salvador,16,16,0
2011-10,Mexico,"2,368","2,368",0,Guatemala,36,36,0,Honduras,11,11,0,El Salvador,11,11,0
2011-11,Mexico,"2,083","2,083",0,Guatemala,51,51,0,Honduras,21,21,0,El Salvador,22,22,0
2011-12,Mexico,"2,049","2,049",0,Guatemala,41,41,0,Honduras,19,19,0,El Salvador,17,17,0
2012-01,Mexico,"2,085","2,085",0,Guatemala,42,42,0,Honduras,31,31,0,El Salvador,12,12,0
2012-02,Mexico,"2,360","2,360",0,Guatemala,30,30,0,Honduras,20,20,0,El Salvador,13,13,0
2012-03,Mexico,"2,966","2,966",0,Guatemala,32,32,0,Honduras,21,21,0,El Salvador,28,28,0
2012-04,Mexico,"2,760","2,760",0,Guatemala,42,42,0,Honduras,23,23,0,El Salvador,35,35,0
2012-05,Mexico,"2,689","2,689",0,Guatemala,39,39,0,Honduras,29,29,0,El Salvador,22,22,0
2012-06,Mexico,"2,078","2,078",0,Guatemala,36,36,0,Honduras,22,22,0,El Salvador,15,15,0
2012-07,Mexico,"2,060","2,060",0,Guatemala,27,27,0,Honduras,26,26,0,El Salvador,33,33,0
2012-08,Mexico,"1,909","1,909",0,Guatemala,41,41,0,Honduras,32,32,0,El Salvador,17,17,0
2012-09,Mexico,"1,900","1,900",0,Guatemala,27,27,0,Honduras,28,28,0,El Salvador,17,17,0
2012-10,Mexico,"1,860","1,860",0,Guatemala,15,15,0,Honduras,23,23,0,El Salvador,16,16,0
2012-11,Mexico,"1,859","1,859",0,Guatemala,24,24,0,Honduras,19,19,0,El Salvador,16,16,0
2012-12,Mexico,"1,719","1,719",0,Guatemala,34,34,0,Honduras,23,23,0,El Salvador,11,11,0
2013-01,Mexico,"2,080","2,080",0,Guatemala,19,19,0,Honduras,16,16,0,El Salvador,19,19,0
2013-02,Mexico,"2,149","2,149",0,Guatemala,22,22,0,Honduras,24,24,0,El Salvador,17,17,0
2013-03,Mexico,"2,952","2,952",0,Guatemala,32,32,0,Honduras,30,30,0,El Salvador,17,17,0
2013-04,Mexico,"2,737","2,737",0,Guatemala,37,37,0,Honduras,22,22,0,El Salvador,22,22,0
2013-05,Mexico,"2,739","2,739",0,Guatemala,32,32,0,Honduras,34,34,0,El Salvador,25,25,0
2013-06,Mexico,"2,182","2,182",0,Guatemala,23,23,0,Honduras,37,37,0,El Salvador,31,31,0
2013-07,Mexico,"2,139","2,139",0,Guatemala,49,49,0,Honduras,41,41,0,El Salvador,19,19,0
2013-08,Mexico,"1,945","1,945",0,Guatemala,16,16,0,Honduras,32,32,0,El Salvador,25,25,0
2013-09,Mexico,"1,862","1,862",0,Guatemala,27,27,0,Honduras,35,35,0,El Salvador,18,18,0
2013-10,Mexico,"2,081","2,081",0,Guatemala,36,36,0,Honduras,27,27,0,El Salvador,21,21,0
2013-11,Mexico,"1,965","1,965",0,Guatemala,59,59,0,Honduras,38,38,0,El Salvador,14,14,0
2013-12,Mexico,"1,966","1,966",0,Guatemala,29,29,0,Honduras,30,30,0,El Salvador,27,27,0
2014-01,Mexico,"2,408","2,408",0,Guatemala,49,49,0,Honduras,40,40,0,El Salvador,27,27,0
2014-02,Mexico,"2,368","2,368",0,Guatemala,46,46,0,Honduras,24,24,0,El Salvador,20,20,0
2014-03,Mexico,"3,257","3,257",0,Guatemala,55,55,0,Honduras,39,39,0,El Salvador,14,14,0
2014-04,Mexico,"2,882","2,882",0,Guatemala,74,74,0,Honduras,24,24,0,El Salvador,18,18,0
2014-05,Mexico,"2,637","2,637",0,Guatemala,111,111,0,Honduras,69,69,0,El Salvador,35,35,0
2014-06,Mexico,"2,178","2,178",0,Guatemala,164,164,0,Honduras,50,50,0,El Salvador,27,27,0
2014-07,Mexico,"2,257","2,257",0,Guatemala,109,109,0,Honduras,73,73,0,El Salvador,32,32,0
2014-08,Mexico,"1,928","1,928",0,Guatemala,97,97,0,Honduras,48,48,0,El Salvador,37,37,0
2014-09,Mexico,"1,944","1,944",0,Guatemala,68,68,0,Honduras,28,28,0,El Salvador,38,38,0
2014-10,Mexico,"2,000","2,000",0,Guatemala,68,68,0,Honduras,17,17,0,El Salvador,16,16,0
2014-11,Mexico,"1,830","1,830",0,Guatemala,58,58,0,Honduras,7,7,0,El Salvador,13,13,0
2014-12,Mexico,"2,102","2,102",0,Guatemala,122,122,0,Honduras,20,20,0,El Salvador,12,12,0
2015-01,Mexico,"1,999","1,999",0,Guatemala,65,65,0,Honduras,17,17,0,El Salvador,20,20,0
2015-02,Mexico,"2,340","2,340",0,Guatemala,75,75,0,Honduras,22,22,0,El Salvador,16,16,0
2015-03,Mexico,"2,703","2,703",0,Guatemala,119,119,0,Honduras,9,9,0,El Salvador,19,19,0
2015-04,Mexico,"2,099","2,099",0,Guatemala,129,129,0,Honduras,20,20,0,El Salvador,16,16,0
2015-05,Mexico,"2,107","2,107",0,Guatemala,97,97,0,Honduras,35,35,0,El Salvador,26,26,0
2015-06,Mexico,"1,929","1,929",0,Guatemala,101,101,0,Honduras,19,19,0,El Salvador,11,11,0
2015-07,Mexico,"1,822","1,822",0,Guatemala,90,90,0,Honduras,17,17,0,El Salvador,23,23,0
2015-08,Mexico,"1,659","1,659",0,Guatemala,132,132,0,Honduras,37,37,0,El Salvador,19,19,0
2015-09,Mexico,"1,679","1,679",0,Guatemala,112,112,0,Honduras,36,36,0,El Salvador,46,46,0
2015-10,Mexico,"1,801","1,801",0,Guatemala,94,94,0,Honduras,27,27,0,El Salvador,25,25,0
2015-11,Mexico,"1,684","1,684",0,Guatemala,131,131,0,Honduras,23,23,0,El Salvador,17,17,0
