Date,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42,Country,Total,Title_8,Title_42
2007-10,Mexico,"21,144","21,144",0,Guatemala,319,319,0,Honduras,43,43,0,El Salvador,160,160,0
2007-11,Mexico,"17,675","17,675",0,Guatemala,312,312,0,Honduras,46,46,0,El Salvador,121,121,0
2007-12,Mexico,"11,265","11,265",0,Guatemala,293,293,0,Honduras,51,51,0,El Salvador,74,74,0
2008-01,Mexico,"25,895","25,895",0,Guatemala,268,268,0,Honduras,58,58,0,El Salvador,72,72,0
2008-02,Mexico,"33,587","33,587",0,Guatemala,388,388,0,Honduras,142,142,0,El Salvador,110,110,0
2008-03,Mexico,"44,364","44,364",0,Guatemala,473,473,0,Honduras,105,105,0,El Salvador,141,141,0
2008-04,Mexico,"44,342","44,342",0,Guatemala,615,615,0,Honduras,153,153,0,El Salvador,191,191,0
2008-05,Mexico,"31,513","31,513",0,Guatemala,764,764,0,Honduras,185,185,0,El Salvador,246,246,0
2008-06,Mexico,"23,059","23,059",0,Guatemala,685,685,0,Honduras,187,187,0,El Salvador,219,219,0
2008-07,Mexico,"19,708","19,708",0,Guatemala,876,876,0,Honduras,136,136,0,El Salvador,266,266,0
2008-08,Mexico,"16,463","16,463",0,Guatemala,"1,140","1,140",0,Honduras,199,199,0,El Salvador,415,415,0
2008-09,Mexico,"16,434","16,434",0,Guatemala,973,973,0,Honduras,186,186,0,El Salvador,304,304,0
2008-10,Mexico,"17,875","17,875",0,Guatemala,549,549,0,Honduras,115,115,0,El Salvador,133,133,0
2008-11,Mexico,"12,084","12,084",0,Guatemala,427,427,0,Honduras,83,83,0,El Salvador,167,167,0
2008-12,Mexico,"9,034","9,034",0,Guatemala,429,429,0,Honduras,69,69,0,El Salvador,222,222,0
2009-01,Mexico,"17,977","17,977",0,Guatemala,387,387,0,Honduras,81,81,0,El Salvador,112,112,0
2009-02,Mexico,"20,267","20,267",0,Guatemala,362,362,0,Honduras,135,135,0,El Salvador,103,103,0
2009-03,Mexico,"30,399","30,399",0,Guatemala,537,537,0,Honduras,117,117,0,El Salvador,237,237,0
2009-04,Mexico,"27,168","27,168",0,Guatemala,452,452,0,Honduras,108,108,0,El Salvador,186,186,0
2009-05,Mexico,"22,997","22,997",0,Guatemala,563,563,0,Honduras,144,144,0,El Salvador,233,233,0
2009-06,Mexico,"19,853","19,853",0,Guatemala,558,558,0,Honduras,129,129,0,El Salvador,178,178,0
2009-07,Mexico,"18,938","18,938",0,Guatemala,644,644,0,Honduras,117,117,0,El Salvador,287,287,0
