Rio Grande: Mexico,,,,,
,,,,,
Date,Country,Total,Title_8,Title_42,
2007-10,Mexico,9942,7740,0,
2007-11,Mexico,9287,7079,0,
2007-12,Mexico,8763,7044,0,
2008-01,Mexico,8331,7010,0,
2008-02,Mexico,7970,6708,0,
2008-03,Mexico,7918,6564,0,
2008-04,Mexico,7824,6354,0,
2008-05,Mexico,7740,6154,0,
2008-06,Mexico,7578,5997,0,
2008-07,Mexico,7482,5869,0,
2008-08,Mexico,7326,5709,0,
2008-09,Mexico,7295,5620,0,
2008-10,Mexico,7079,5603,0,
2008-11,Mexico,7044,5433,0,
2008-12,Mexico,7010,5374,0,
2009-01,Mexico,6983,5287,0,
2009-02,Mexico,6948,5222,0,
2009-03,Mexico,6919,5172,0,
2009-04,Mexico,6708,5103,0,
2009-05,Mexico,6568,5085,0,
2009-06,Mexico,6564,5063,0,
2009-07,Mexico,6466,4998,0,
2009-08,Mexico,6413,4928,0,
2009-09,Mexico,6354,4748,0,
2009-10,Mexico,6207,4729,0,
2009-11,Mexico,6154,4720,0,
2009-12,Mexico,5997,4663,0,
2010-01,Mexico,5950,4647,0,
2010-02,Mexico,5869,4621,0,
2010-03,Mexico,5709,4599,0,
2010-04,Mexico,5620,4569,0,
2010-05,Mexico,5603,4525,0,
2010-06,Mexico,5462,4508,0,
2010-07,Mexico,5433,4507,0,
2010-08,Mexico,5374,4462,0,
2010-09,Mexico,5371,4441,0,
2010-10,Mexico,5287,4424,0,
2010-11,Mexico,5278,4417,0,
2010-12,Mexico,5222,4353,0,
2011-01,Mexico,5172,4334,0,
2011-02,Mexico,5103,4329,0,
2011-03,Mexico,5085,4285,0,
2011-04,Mexico,5063,4222,0,
2011-05,Mexico,4998,4220,0,
2011-06,Mexico,4928,4179,0,
2011-07,Mexico,4796,4176,0,
2011-08,Mexico,4748,4120,0,
2011-09,Mexico,4729,4078,0,
2011-10,Mexico,4720,4061,0,
2011-11,Mexico,4663,4012,0,
2011-12,Mexico,4647,3995,0,
2012-01,Mexico,4621,3994,0,
2012-02,Mexico,4599,3962,0,
2012-03,Mexico,"4,569","3,961",0,
2012-04,Mexico,"4,525","3,952",0,
2012-05,Mexico,"4,508","3,945",0,
2012-06,Mexico,"4,507","3,941",0,
2012-07,Mexico,"4,462","3,939",0,
2012-08,Mexico,"4,441","3,926",0,
2012-09,Mexico,"4,424","3,920",0,
2012-10,Mexico,"4,417","3,899",0,
2012-11,Mexico,"4,353","3,843",0,
2012-12,Mexico,"4,334","3,824",0,
2013-01,Mexico,4329,3810,0,
2013-02,Mexico,"4,285","3,792",0,
2013-03,Mexico,"4,222","3,685",0,
2013-04,Mexico,"4,220","3,680",0,
2013-05,Mexico,"4,179","3,654",0,
2013-06,Mexico,"4,176","3,623",0,
2013-07,Mexico,"4,120","3,608",0,
2013-08,Mexico,"4,078","3,574",0,
2013-09,Mexico,"4,078","3,544",0,
2013-10,Mexico,"4,061","3,539",0,
2013-11,Mexico,"4,012","3,537",0,
2013-12,Mexico,"3,995","3,531",0,
2014-01,Mexico,"3,994","3,527",0,
2014-02,Mexico,"3,962","3,519",0,
2014-03,Mexico,"3,961","3,466",0,
2014-04,Mexico,"3,952","3,441",0,
2014-05,Mexico,"3,945","3,416",0,
2014-06,Mexico,"3,941","3,402",0,
2014-07,Mexico,"3,939","3,390",0,
2014-08,Mexico,"3,926","3,306",0,
2014-09,Mexico,"3,920","3,303",0,
2014-10,Mexico,"3,899","3,281",0,
2014-11,Mexico,"3,843","3,266",0,
2014-12,Mexico,"3,824","3,257",0,
2015-01,Mexico,"3,810","3,223",0,
2015-02,Mexico,"3,792","3,206",0,
2015-03,Mexico,"3,685","3,178",0,
2015-04,Mexico,"3,680","3,138",0,
2015-05,Mexico,"3,654","3,134",0,
2015-06,Mexico,"3,623","3,117",0,
2015-07,Mexico,"3,608","3,113",0,
2015-08,Mexico,"3,574","3,094",0,
2015-09,Mexico,"3,544","3,051",0,
2015-10,Mexico,"3,539","3,030",0,
2015-11,Mexico,"3,537","3,016",0,
2015-12,Mexico,"3,531","3,007",0,
2016-01,Mexico,"3,527","2,939",0,
2016-02,Mexico,"3,519","2,920",0,
2016-03,Mexico,"3,466","2,916",0,
2016-04,Mexico,"3,441","2,906",0,
2016-05,Mexico,"3,416","2,906",0,
2016-06,Mexico,"3,402","2,897",0,
2016-07,Mexico,"3,390","2,822",0,
2016-08,Mexico,"3,306","2,775",0,
2016-09,Mexico,"3,303","2,770",0,
2016-10,Mexico,"3,281","2,669",0,
2016-11,Mexico,"3,266","2,658",0,
2016-12,Mexico,"3,257","2,658",0,
2017-01,Mexico,"3,223","2,594",0,
2017-02,Mexico,"3,206","2,577",0,
2017-03,Mexico,3178,2540,0,
2017-04,Mexico,3138,2527,0,
2017-05,Mexico,3134,2516,0,
2017-06,Mexico,"3,117","2,499",0,
2017-07,Mexico,"3,113","2,495",0,
2017-08,Mexico,"3,094","2,468",0,
2017-09,Mexico,"3,051","2,449",0,
2017-10,Mexico,"3,030","2,421",0,
2017-11,Mexico,"3,016","2,410",0,
2017-12,Mexico,"3,007","2,406",0,
2018-01,Mexico,"2,939","2,401",0,
2018-02,Mexico,"2,920","2,401",0,
2018-03,Mexico,"2,916","2,379",0,
2018-04,Mexico,"2,906","2,368",0,
2018-05,Mexico,"2,906","2,339",0,
2018-06,Mexico,"2,897","2,322",0,
2018-07,Mexico,"2,822","2,285",0,
2018-08,Mexico,"2,775","2,273",0,
2018-09,Mexico,"2,770","2,271",0,
2018-10,Mexico,"2,750","2,259",0,
2018-11,Mexico,"2,669","2,259",0,
2018-12,Mexico,"2,664","2,232",0,
2019-01,Mexico,"2,658","2,162",0,
2019-02,Mexico,"2,658","2,155",0,
2019-03,Mexico,"2,594","2,137",0,
2019-04,Mexico,"2,577","2,124",0,
2019-05,Mexico,"2,540","2,088",0,
2019-06,Mexico,"2,527","2,073",0,
2019-07,Mexico,"2,516","2,043",0,
2019-08,Mexico,"2,499","1,980",0,
2019-09,Mexico,"2,495","1,965",0,
2019-10,Mexico,"2,468","1,946",0,
2019-11,Mexico,"2,449","1,916",0,
2019-12,Mexico,"2,421","1,869",0,
2020-01,Mexico,"2,410","1,856",0,
2020-02,Mexico,"2,406","1,725",0,
2020-03,Mexico,"2,401","1,694",699,
2020-04,Mexico,2401,961,1866,
2020-05,Mexico,2379,956,2536,
2020-06,Mexico,2368,916,3787,
2020-07,Mexico,"2,339",913,"4,514",
2020-08,Mexico,"2,322",850,"5,594",
2020-09,Mexico,"2,285",843,"6,450",
2020-10,Mexico,"2,273",821,"7,397",
2020-11,Mexico,"2,271",820,"5,938",
2020-12,Mexico,"2,259",777,"4,730",
2021-01,Mexico,"2,259",766,"4,527",
2021-02,Mexico,"2,232",765,"4,823",
2021-03,Mexico,"2,162",751,"6,530",
2021-04,Mexico,"2,155",738,"7,488",
2021-05,Mexico,"2,137",715,"7,847",
2021-06,Mexico,"2,124",706,"6,863",
2021-07,Mexico,"2,088",692,"5,566",
2021-08,Mexico,"2,073",672,"6,268",
2021-09,Mexico,"2,043",641,"6,906",
2021-10,Mexico,"1,980",641,"6,662",
2021-11,Mexico,"1,954",639,"6,560",
2021-12,Mexico,"1,946",528,"5,721",
2022-01,Mexico,"1,916",521,"5,862",
2022-02,Mexico,"1,869",498,"6,181",
2022-03,Mexico,"1,856",356,"9,092",
2022-04,Mexico,"1,725",291,"8,510",
2022-05,Mexico,"1,694",282,"7,057",
2022-06,Mexico,956,214,0,
2022-07,Mexico,821,88,0,
,,,,,
,,722219,566245,155974,722219
