Honduras,,Mexico,,Guatemala,,El Salvador,
Date,Total,Date,Total,Date,Total,Date,Total
2019-03,845,2008-03,"44,364",2021-03,"6,653",2008-08,415
2021-03,842,2008-04,"44,342",2021-04,"5,834",2010-06,392
2019-05,832,2008-02,"33,587",2021-05,"5,515",2010-05,384
2019-06,699,2008-05,"31,513",2021-06,"5,316",2010-07,372
2019-04,679,2009-03,"30,399",2021-02,"5,022",2021-04,314
2021-04,661,2010-03,"30,083",2022-03,"4,844",2008-09,304
2021-05,628,2009-04,"27,168",2022-05,"4,610",2009-07,287
2021-06,611,2010-04,"27,091",2021-07,"4,475",2021-05,281
2019-07,597,2008-01,"25,895",2022-04,"4,253",2021-03,273
2021-02,579,2008-06,"23,059",2021-08,"4,189",2008-07,266
2019-12,520,2009-05,"22,997",2022-02,"3,957",2019-05,265
2019-10,513,2009-10,"21,964",2021-11,"3,896",2009-08,258
2019-08,501,2007-10,"21,144",2021-12,"3,784",2021-06,257
2021-07,488,2010-05,"20,611",2021-09,"3,640",2019-06,256
2018-12,480,2010-02,"20,288",2021-01,"3,433",2008-05,246
2020-12,461,2009-02,"20,267",2021-10,"3,431",2009-11,246
2019-11,461,2009-06,"19,853",2020-12,"3,320",2010-03,246
2019-02,456,2008-07,"19,708",2019-03,"2,886",2010-04,245
2021-08,445,2022-03,"19,686",2020-11,"2,854",2021-07,244
2019-09,420,2009-08,"19,588",2020-10,"2,610",2022-05,244
2020-11,413,2009-07,"18,938",2019-05,"2,585",2016-12,240
2018-11,409,2009-01,"17,977",2019-11,"2,507",2010-09,240
2013-03,401,2008-10,"17,875",2022-01,"2,459",2021-08,240
2021-01,399,2007-11,"17,675",2018-12,"2,391",2009-09,239
2016-05,393,2022-04,"17,667",2018-10,"2,386",2021-02,239
2014-06,377,2022-05,"17,201",2019-12,"2,275",2009-03,237
2018-03,372,2008-08,"16,463",2019-04,"2,258",2009-05,233
2018-05,348,2008-09,"16,434",2019-10,"2,238",2009-10,228
2018-10,345,2009-11,"15,826",2018-09,"2,030",2012-06,224
2016-11,345,2022-02,"15,730",2019-06,"1,968",2016-11,223
2016-06,339,2011-03,"15,640",2018-11,"1,955",2010-08,223
2014-05,333,2010-01,"15,282",2019-02,"1,934",2008-12,222
2020-10,330,2021-11,"15,257",2018-03,"1,833",2008-06,219
2021-09,328,2012-03,"14,573",2017-12,"1,713",2021-11,219
2016-07,316,2022-01,"14,353",2012-05,"1,699",2012-04,215
2018-09,314,2009-09,"13,842",2018-05,"1,697",2022-02,210
2012-04,309,2021-10,"13,840",2013-03,"1,686",2022-03,205
2022-05,305,2011-04,"12,782",2015-12,"1,682",2009-12,204
2021-11,304,2021-09,"12,695",2013-04,"1,659",2013-05,202
2014-03,303,2013-03,"12,570",2018-04,"1,658",2019-11,197
2020-01,299,2021-05,"12,429",2022-06,"1,559",2012-03,194
2019-01,296,2012-04,"12,146",2019-01,"1,527",2008-04,191
2020-02,289,2008-11,"12,084",2020-09,"1,523",2014-06,190
2017-11,288,2021-04,"12,057",2012-12,"1,522",2015-11,189
2022-03,284,2013-04,"11,829",2013-12,"1,517",2013-03,187
2013-05,282,2007-12,"11,265",2014-06,"1,471",2010-02,187
2018-04,280,2010-06,"11,164",2017-11,"1,469",2015-12,186
