YYYYMM, LAT, LON, TAS
201501,   24.50,  260.62,  285.29
201501,   24.50,  261.88,  289.13
201501,   24.50,  263.12,  292.50
201501,   25.50,  260.62,  286.12
201501,   25.50,  261.88,  288.82
201501,   25.50,  263.12,  291.79
201501,   26.50,  260.62,  286.66
201501,   26.50,  261.88,  287.81
201501,   26.50,  263.12,  290.84
201501,   27.50,  260.62,  285.81
201501,   27.50,  261.88,  286.43
201501,   27.50,  263.12,  289.05
201502,   24.50,  260.62,  288.01
201502,   24.50,  261.88,  291.18
201502,   24.50,  263.12,  294.00
201502,   25.50,  260.62,  289.16
201502,   25.50,  261.88,  291.07
201502,   25.50,  263.12,  293.26
201502,   26.50,  260.62,  289.42
201502,   26.50,  261.88,  290.14
201502,   26.50,  263.12,  292.26
201502,   27.50,  260.62,  289.00
201502,   27.50,  261.88,  288.94
201502,   27.50,  263.12,  290.64
201503,   24.50,  260.62,  290.71
201503,   24.50,  261.88,  294.13
201503,   24.50,  263.12,  294.96
201503,   25.50,  260.62,  291.79
201503,   25.50,  261.88,  293.76
201503,   25.50,  263.12,  294.41
201503,   26.50,  260.62,  292.33
201503,   26.50,  261.88,  292.57
201503,   26.50,  263.12,  293.54
201503,   27.50,  260.62,  291.61
201503,   27.50,  261.88,  291.38
201503,   27.50,  263.12,  292.38
201504,   24.50,  260.62,  293.43
201504,   24.50,  261.88,  296.66
201504,   24.50,  263.12,  297.19
201504,   25.50,  260.62,  293.49
201504,   25.50,  261.88,  296.03
201504,   25.50,  263.12,  296.61
201504,   26.50,  260.62,  293.06
201504,   26.50,  261.88,  294.51
201504,   26.50,  263.12,  295.65
201504,   27.50,  260.62,  292.21
201504,   27.50,  261.88,  292.75
201504,   27.50,  263.12,  294.13
201505,   24.50,  260.62,  295.14
201505,   24.50,  261.88,  299.25
201505,   24.50,  263.12,  299.15
201505,   25.50,  260.62,  297.15
201505,   25.50,  261.88,  299.15
201505,   25.50,  263.12,  298.70
201505,   26.50,  260.62,  298.46
201505,   26.50,  261.88,  298.59
201505,   26.50,  263.12,  298.38
201505,   27.50,  260.62,  298.49
201505,   27.50,  261.88,  298.13
201505,   27.50,  263.12,  297.98
201506,   24.50,  260.62,  299.45
201506,   24.50,  261.88,  302.71
201506,   24.50,  263.12,  301.17
201506,   25.50,  260.62,  302.83
201506,   25.50,  261.88,  303.18
201506,   25.50,  263.12,  301.01
201506,   26.50,  260.62,  304.23
201506,   26.50,  261.88,  302.64
201506,   26.50,  263.12,  300.96
201506,   27.50,  260.62,  304.35
201506,   27.50,  261.88,  302.65
201506,   27.50,  263.12,  301.02
201507,   24.50,  260.62,  298.70
201507,   24.50,  261.88,  302.21
201507,   24.50,  263.12,  302.07
201507,   25.50,  260.62,  302.31
201507,   25.50,  261.88,  302.98
201507,   25.50,  263.12,  301.87
201507,   26.50,  260.62,  304.13
201507,   26.50,  261.88,  303.06
201507,   26.50,  263.12,  301.76
201507,   27.50,  260.62,  304.50
201507,   27.50,  261.88,  303.17
201507,   27.50,  263.12,  301.81
201508,   24.50,  260.62,  299.66
201508,   24.50,  261.88,  303.13
201508,   24.50,  263.12,  302.31
201508,   25.50,  260.62,  302.59
201508,   25.50,  261.88,  303.48
201508,   25.50,  263.12,  302.25
201508,   26.50,  260.62,  304.29
201508,   26.50,  261.88,  303.24
201508,   26.50,  263.12,  302.14
201508,   27.50,  260.62,  304.48
201508,   27.50,  261.88,  303.03
201508,   27.50,  263.12,  302.12
201509,   24.50,  260.62,  294.52
201509,   24.50,  261.88,  298.71
201509,   24.50,  263.12,  299.98
201509,   25.50,  260.62,  296.43
201509,   25.50,  261.88,  298.91
201509,   25.50,  263.12,  299.81
201509,   26.50,  260.62,  297.63
201509,   26.50,  261.88,  298.68
201509,   26.50,  263.12,  299.70
201509,   27.50,  260.62,  297.31
201509,   27.50,  261.88,  298.29
201509,   27.50,  263.12,  299.56
201510,   24.50,  260.62,  293.27
201510,   24.50,  261.88,  296.87
201510,   24.50,  263.12,  298.25
201510,   25.50,  260.62,  295.19
201510,   25.50,  261.88,  297.18
201510,   25.50,  263.12,  297.87
201510,   26.50,  260.62,  296.19
201510,   26.50,  261.88,  296.39
201510,   26.50,  263.12,  297.38
201510,   27.50,  260.62,  295.35
201510,   27.50,  261.88,  295.20
201510,   27.50,  263.12,  296.68
201511,   24.50,  260.62,  287.71
201511,   24.50,  261.88,  292.12
201511,   24.50,  263.12,  294.70
201511,   25.50,  260.62,  288.47
201511,   25.50,  261.88,  291.73
201511,   25.50,  263.12,  293.94
201511,   26.50,  260.62,  288.68
201511,   26.50,  261.88,  290.33
201511,   26.50,  263.12,  292.95
201511,   27.50,  260.62,  287.82
201511,   27.50,  261.88,  288.70
201511,   27.50,  263.12,  291.51
201512,   24.50,  260.62,  286.19
201512,   24.50,  261.88,  291.17
201512,   24.50,  263.12,  293.59
201512,   25.50,  260.62,  287.70
201512,   25.50,  261.88,  290.88
201512,   25.50,  263.12,  292.97
201512,   26.50,  260.62,  288.61
201512,   26.50,  261.88,  289.69
201512,   26.50,  263.12,  292.10
201512,   27.50,  260.62,  288.14
201512,   27.50,  261.88,  288.51
201512,   27.50,  263.12,  290.98
201601,   24.50,  260.62,  289.33
201601,   24.50,  261.88,  293.25
201601,   24.50,  263.12,  294.69
201601,   25.50,  260.62,  290.56
201601,   25.50,  261.88,  293.12
201601,   25.50,  263.12,  294.38
201601,   26.50,  260.62,  291.42
201601,   26.50,  261.88,  292.09
201601,   26.50,  263.12,  293.74
201601,   27.50,  260.62,  290.71
201601,   27.50,  261.88,  290.99
201601,   27.50,  263.12,  292.80
201602,   24.50,  260.62,  285.75
201602,   24.50,  261.88,  288.59
201602,   24.50,  263.12,  291.99
201602,   25.50,  260.62,  285.73
201602,   25.50,  261.88,  287.68
201602,   25.50,  263.12,  290.89
201602,   26.50,  260.62,  285.85
201602,   26.50,  261.88,  286.51
201602,   26.50,  263.12,  289.72
201602,   27.50,  260.62,  284.93
201602,   27.50,  261.88,  285.15
201602,   27.50,  263.12,  288.00
201603,   24.50,  260.62,  289.09
201603,   24.50,  261.88,  291.77
201603,   24.50,  263.12,  293.41
201603,   25.50,  260.62,  289.42
201603,   25.50,  261.88,  291.28
201603,   25.50,  263.12,  292.62
201603,   26.50,  260.62,  289.87
201603,   26.50,  261.88,  290.19
201603,   26.50,  263.12,  291.61
201603,   27.50,  260.62,  289.18
201603,   27.50,  261.88,  288.84
201603,   27.50,  263.12,  290.09
201604,   24.50,  260.62,  294.26
201604,   24.50,  261.88,  297.86
201604,   24.50,  263.12,  296.94
201604,   25.50,  260.62,  295.70
201604,   25.50,  261.88,  297.66
201604,   25.50,  263.12,  296.55
201604,   26.50,  260.62,  296.78
201604,   26.50,  261.88,  296.73
201604,   26.50,  263.12,  296.09
201604,   27.50,  260.62,  296.41
201604,   27.50,  261.88,  295.66
201604,   27.50,  263.12,  295.23
201605,   24.50,  260.62,  297.57
201605,   24.50,  261.88,  300.08
201605,   24.50,  263.12,  299.39
201605,   25.50,  260.62,  299.13
201605,   25.50,  261.88,  299.87
201605,   25.50,  263.12,  298.93
201605,   26.50,  260.62,  299.81
201605,   26.50,  261.88,  299.18
201605,   26.50,  263.12,  298.50
201605,   27.50,  260.62,  299.02
201605,   27.50,  261.88,  298.43
201605,   27.50,  263.12,  297.96
201606,   24.50,  260.62,  300.16
201606,   24.50,  261.88,  302.99
201606,   24.50,  263.12,  301.58
201606,   25.50,  260.62,  303.01
201606,   25.50,  261.88,  303.23
201606,   25.50,  263.12,  301.33
201606,   26.50,  260.62,  303.68
201606,   26.50,  261.88,  302.62
201606,   26.50,  263.12,  301.20
201606,   27.50,  260.62,  303.45
201606,   27.50,  261.88,  302.29
201606,   27.50,  263.12,  301.15
201607,   24.50,  260.62,  299.83
201607,   24.50,  261.88,  302.35
201607,   24.50,  263.12,  301.93
201607,   25.50,  260.62,  303.19
201607,   25.50,  261.88,  302.95
201607,   25.50,  263.12,  301.76
201607,   26.50,  260.62,  304.46
201607,   26.50,  261.88,  302.91
201607,   26.50,  263.12,  301.68
201607,   27.50,  260.62,  304.29
201607,   27.50,  261.88,  302.76
201607,   27.50,  263.12,  301.67
201608,   24.50,  260.62,  300.68
201608,   24.50,  261.88,  304.16
201608,   24.50,  263.12,  302.93
201608,   25.50,  260.62,  303.59
201608,   25.50,  261.88,  304.44
201608,   25.50,  263.12,  302.83
201608,   26.50,  260.62,  304.90
201608,   26.50,  261.88,  303.91
201608,   26.50,  263.12,  302.69
201608,   27.50,  260.62,  304.58
201608,   27.50,  261.88,  303.23
201608,   27.50,  263.12,  302.50
201609,   24.50,  260.62,  294.10
201609,   24.50,  261.88,  298.21
201609,   24.50,  263.12,  300.08
201609,   25.50,  260.62,  295.78
201609,   25.50,  261.88,  298.31
201609,   25.50,  263.12,  299.90
201609,   26.50,  260.62,  296.58
201609,   26.50,  261.88,  297.89
201609,   26.50,  263.12,  299.67
201609,   27.50,  260.62,  296.82
201609,   27.50,  261.88,  297.50
201609,   27.50,  263.12,  299.21
201610,   24.50,  260.62,  291.32
201610,   24.50,  261.88,  295.27
201610,   24.50,  263.12,  297.60
201610,   25.50,  260.62,  292.86
